Depth_m,qt_MPa,fs_kPa,u2_kPa,FR_percent,qt_bar,fs_bar,Fr_percent,robertson_zone,soil_type
1.998,0.12348,1.637,-12.6,1.3257207644962747,1.2348000000000001,0.01637,1.3257207644962745,0,Unclassified
2.009,0.1186,1.452,-12.0,1.224283305227656,1.186,0.01452,1.224283305227656,0,Unclassified
2.02,0.12174,1.37,-11.3,1.1253491046492523,1.2174,0.0137,1.1253491046492525,0,Unclassified
2.031,0.13386,1.467,-10.7,1.0959211116091438,1.3386,0.01467,1.0959211116091438,0,Unclassified
2.042,0.14386,1.407,-10.7,0.9780341999165856,1.4385999999999999,0.014070000000000001,0.9780341999165857,0,Unclassified
2.053,0.14686,1.746,-10.7,1.1888873757319898,1.4686,0.01746,1.1888873757319898,0,Unclassified
2.064,0.144,2.261,-10.0,1.570138888888889,1.44,0.02261,1.570138888888889,0,Unclassified
2.075,0.13412,2.348,-9.4,1.750671040858932,1.3412,0.023479999999999997,1.750671040858932,0,Unclassified
2.086,0.13728,2.365,-8.6,1.7227564102564104,1.3728000000000002,0.02365,1.7227564102564101,0,Unclassified
2.097,0.1544,2.375,-8.0,1.5382124352331603,1.544,0.02375,1.5382124352331605,0,Unclassified
2.109,0.1614,2.408,-8.0,1.4919454770755884,1.6139999999999999,0.02408,1.4919454770755889,0,Unclassified
2.12,0.1744,2.584,-8.0,1.481651376146789,1.744,0.025840000000000002,1.481651376146789,0,Unclassified
2.131,0.19654,2.77,-7.3,1.4093823140327668,1.9653999999999998,0.0277,1.409382314032767,0,Unclassified
2.142,0.23152,2.684,-7.4,1.1592950932964756,2.3152,0.026840000000000003,1.1592950932964756,0,Unclassified
2.153,0.2604,2.326,-8.0,0.8932411674347157,2.604,0.02326,0.8932411674347157,0,Unclassified
2.165,0.2584,2.022,-8.0,0.7825077399380802,2.584,0.02022,0.7825077399380804,0,Unclassified
2.176,0.2634,1.849,-8.0,0.701974183750949,2.6340000000000003,0.01849,0.701974183750949,0,Unclassified
2.187,0.23326,1.822,-8.7,0.781102632255852,2.3326,0.01822,0.781102632255852,0,Unclassified
2.198,0.23128,1.915,-8.6,0.8280006918021446,2.3128,0.01915,0.8280006918021445,0,Unclassified
2.209,0.1714,1.902,-8.0,1.1096849474912485,1.714,0.01902,1.1096849474912485,0,Unclassified
2.221,0.1694,1.824,-8.0,1.0767414403778035,1.694,0.01824,1.076741440377804,0,Unclassified
2.232,0.17454,1.722,-7.3,0.9865933310415952,1.7454,0.01722,0.9865933310415951,0,Unclassified
2.243,0.16466,1.662,-6.7,1.0093526053686384,1.6466,0.01662,1.0093526053686384,0,Unclassified
2.255,0.16666,1.545,-6.7,0.9270370814832594,1.6666,0.015449999999999998,0.9270370814832593,0,Unclassified
2.266,0.1868,1.738,-6.0,0.930406852248394,1.8679999999999999,0.01738,0.930406852248394,0,Unclassified
2.278,0.18494,2.107,-5.3,1.1392884178652538,1.8494,0.021070000000000002,1.1392884178652538,0,Unclassified
2.289,0.17694,2.252,-5.3,1.272747824121171,1.7693999999999999,0.02252,1.2727478241211712,0,Unclassified
2.3,0.19206,2.354,-4.7,1.2256586483390608,1.9206,0.023540000000000002,1.2256586483390608,0,Unclassified
2.312,0.2272,1.971,-4.0,0.8675176056338028,2.2720000000000002,0.019710000000000002,0.8675176056338028,0,Unclassified
2.323,0.2292,1.749,-4.0,0.7630890052356021,2.292,0.017490000000000002,0.7630890052356023,0,Unclassified
2.334,0.2192,1.807,-4.0,0.8243613138686131,2.192,0.01807,0.8243613138686131,0,Unclassified
2.346,0.2192,1.854,-4.0,0.8458029197080292,2.192,0.01854,0.8458029197080292,0,Unclassified
2.357,0.2072,1.691,-4.0,0.8161196911196912,2.072,0.01691,0.8161196911196912,0,Unclassified
2.369,0.2042,1.564,-4.0,0.7659157688540646,2.042,0.01564,0.7659157688540648,0,Unclassified
2.38,0.19034,1.505,-3.3,0.7906903435956708,1.9034,0.01505,0.7906903435956708,0,Unclassified
2.391,0.19746,1.374,-2.7,0.6958371315709511,1.9746,0.01374,0.6958371315709511,0,Unclassified
2.403,0.19046,1.296,-2.7,0.680457838916308,1.9045999999999998,0.012960000000000001,0.680457838916308,0,Unclassified
2.414,0.1775999999999999,1.079,-2.0,0.6075450450450451,1.775999999999999,0.01079,0.6075450450450454,0,Unclassified
2.426,0.17074,0.819,-1.3,0.4796767014173597,1.7074,0.00819,0.4796767014173597,0,Unclassified
2.437,0.1757399999999999,0.946,-1.3,0.5382952088312281,1.757399999999999,0.00946,0.5382952088312283,0,Unclassified
2.448,0.19274,1.724,-1.3,0.8944692331638477,1.9274,0.01724,0.8944692331638476,0,Unclassified
2.46,0.1728599999999999,2.118,-0.7,1.2252690038181189,1.728599999999999,0.021179999999999997,1.2252690038181193,0,Unclassified
2.472,0.173,2.267,0.0,1.3104046242774563,1.73,0.02267,1.3104046242774565,0,Unclassified
2.483,0.173,2.277,0.0,1.316184971098266,1.73,0.022770000000000002,1.316184971098266,0,Unclassified
2.495,0.181,2.271,0.0,1.254696132596685,1.81,0.022709999999999998,1.254696132596685,0,Unclassified
2.506,0.19206,1.878,5.3,0.9778194314276788,1.9206,0.018779999999999998,0.9778194314276787,0,Unclassified
2.527,0.27354,1.411,17.7,0.5158294947722454,2.7354000000000003,0.014110000000000001,0.5158294947722454,0,Unclassified
2.535,0.28348,1.54,17.4,0.5432482009312827,2.8348,0.0154,0.5432482009312827,0,Unclassified
2.544,0.28032,1.694,16.6,0.6043093607305936,2.8032000000000004,0.01694,0.6043093607305935,0,Unclassified
2.554,0.2702,1.379,16.0,0.5103626943005182,2.702,0.01379,0.5103626943005182,0,Unclassified
2.564,0.26306,1.342,15.3,0.5101497757165666,2.6306000000000003,0.013420000000000001,0.5101497757165665,0,Unclassified
2.575,0.2478,1.493,14.0,0.6025020177562551,2.4779999999999998,0.01493,0.6025020177562551,0,Unclassified
