Depth_m;qt_MPa;fs_kPa;u2_kPa;FR_percent
5,134;28,54788;205,735;9,4;0,7206664733072998
5,142;28,488879999999998;204,708;9,4;0,7185540463507165
5,152;28,439040000000002;204,037;10,2;0,7174538943649293
5,162;28,390140000000002;203,642;10,7;0,7172983296313438
5,172;28,36814;202,802;10,7;0,7148935390194775
5,182;28,36514;202,205;10,7;0,7128644526344662
5,193;28,390140000000002;202,255;10,7;0,7124128306517684
5,203;28,439140000000002;201,99;10,7;0,7102535449384193
5,213;28,52614;202,454;10,7;0,7097139676100587
5,223;28,5513;202,931;11,5;0,7107592298774487
5,233;28,491400000000002;203,093;12,0;0,7128221147433962
5,244;28,4004;203,622;12,0;0,7169687750876748
5,254;28,288400000000003;203,955;12,0;0,7209845731819403
5,265;28,137400000000003;204,722;12,0;0,7275796626553982
5,275;27,9324;204,573;12,0;0,7323860463118099
5,285;27,7714;204,785;12,0;0,7373953059622489
5,296;27,622400000000003;203,594;12,0;0,7370612256719183
5,306;27,4894;201,927;12,0;0,7345631407015066
5,317;27,3654;198,913;12,0;0,7268777361193332
5,327;27,224400000000003;196,865;12,0;0,7231197014442926
5,338;27,1004;194,678;12,0;0,718358400614013
5,348;26,979400000000002;193,497;12,0;0,7172027546943224
5,358;26,875400000000003;191,873;12,0;0,713935420496067
5,369;26,7814;190,564;12,0;0,7115535408903193
5,379;26,8004;189,829;12,0;0,7083065924389188
5,39;26,87756;187,955;12,8;0,6993008293907633
5,4;26,979680000000002;186,942;13,4;0,692899248619702
5,411;27,06868;185,558;13,4;0,6855081223022326
5,42;27,110680000000002;185,192;13,4;0,6830961082495902
5,431;27,12768;185,635;13,4;0,6843010533890107
5,442;27,08384;185,861;14,2;0,6862431619740774
5,452;27,036939999999998;185,974;14,7;0,6878515098232271
5,463;26,981939999999998;186,86;14,7;0,6925373045822503
5,473;26,981939999999998;186,984;14,7;0,692996871240541
5,484;26,93294;186,449;14,7;0,692271248515758
5,494;26,91994;184,881;14,7;0,6867808769261745
5,505;26,867939999999997;183,343;14,7;0,6823857727834736
5,515;26,75694;181,131;14,7;0,6769496063451202
5,526;26,61578;179,359;13,9;0,6738821856808255
5,536;26,49868;178,655;13,4;0,6742033942822813
5,547;26,37068;176,906;13,4;0,6708435277361069
5,558;26,26668;175,523;13,4;0,6682344323683085
5,569;26,241680000000002;174,015;13,4;0,6631244645922059
5,579;26,273680000000002;171,8;13,4;0,6538863227381927
5,59;26,41268;170,824;13,4;0,6467499700901235
5,601;26,523680000000002;170,789;13,4;0,643911402942578
5,611;26,59568;171,104;13,4;0,6433526046335345
5,622;26,65268;172,128;13,4;0,6458187319248946
5,633;26,81868;173,883;13,4;0,6483652439269942
5,643;27,04382;175,071;14,1;0,6473604690461628
5,654;27,239939999999997;176,034;14,7;0,6462349036011092
5,665;27,382939999999998;176,782;14,7;0,6455917443488538
5,676;27,44294;177,171;14,7;0,6455977384347303
5,686;27,47994;177,837;14,7;0,6471520680176157
5,697;27,51194;178,393;14,7;0,6484202858831475
5,708;27,536939999999998;179,071;14,7;0,6502937508670172
5,719;27,55894;179,618;14,7;0,6517594653495381
5,73;27,556939999999997;180,008;14,7;0,6532220195711136
5,74;27,54194;180,143;14,7;0,6540679414739848
5,751;27,542080000000002;180,467;15,4;0,6552409985012025
5,762;27,5472;180,493;16,0;0,6552135970261951
5,773;27,5692;180,47;16,0;0,6546073154099502
5,784;27,6112;180,286;16,0;0,652945181665411
5,794;27,6512;180,411;16,0;0,6524526964471705
5,805;27,7002;181,081;16,0;0,6537173016801323
5,816;27,772199999999998;183,131;16,0;0,6594040083248717
5,827;27,8192;185,335;16,0;0,6662125438546042
5,837;27,8742;186,613;16,0;0,6694828909887998
5,848;27,9482;186,59;16,0;0,667627968885295
5,859;27,9872;186,238;16,0;0,6654399153898924
5,87;28,0152;185,607;16,0;0,6625224877923412
5,881;28,057199999999998;185,337;16,0;0,660568410247637
5,892;28,09136;184,705;16,8;0,6575153356761653
5,902;28,11932;184,842;16,6;0,6573487552330569
5,913;28,1312;185,588;16,0;0,6597230121715391
5,924;28,1262;186,492;16,0;0,6630543763466091
5,935;28,1512;187,446;16,0;0,6658543863139049
5,946;28,1512;189,605;16,0;0,6735236863792662
5,957;28,1382;191,772;16,0;0,6815361323752052
5,968;28,1012;193,971;16,0;0,6902587789845274
5,979;28,0392;196,316;16,0;0,7001483637193644
5,989;27,9682;197,963;16,0;0,707814589426563
6,0;27,8862;199,236;16,0;0,7144609161520752
6,011;27,7322;199,801;16,0;0,720465740186498
6,022;27,5052;199,375;16,0;0,724862935008653
6,033;27,1952;198,385;16,0;0,7294853503559452
6,044;26,7972;196,894;16,0;0,7347558700162704
6,055;26,3532;194,974;16,0;0,7398494300502405
6,066;25,9232;192,463;16,0;0,7424353474879644
6,077;25,5762;189,498;16,0;0,7409153822694535
6,088;25,2942;185,712;16,0;0,7342078421140024
6,1;25,054199999999998;181,706;16,0;0,7252516544132321
6,111;24,8532;178,575;16,0;0,7185191444160107
6,121;24,74936;176,451;16,8;0,7129517692578716
6,132;24,70948;173,981;17,4;0,7041062782381499
6,143;24,70448;171,963;17,4;0,6960802251251594
6,154;24,68748;170,679;17,4;0,6913585347714712
6,165;24,69048;169,463;17,4;0,6863495565902323
6,177;24,69562;168,445;18,1;0,6820845153917982
6,188;24,667740000000002;167,96;18,7;0,6808892910335523
6,199;24,58874;168,072;18,7;0,6835323810817471
6,209;24,47274;168,652;18,7;0,6891422864787513
6,22;24,34374;169,296;18,7;0,6954395668044433
6,232;24,194599999999998;169,383;18,0;0,7000859695965216
6,243;24,051479999999998;168,576;17,4;0,7008965768426725
6,254;23,932479999999998;168,08;17,4;0,7023091631122225
6,265;23,897479999999998;167,448;17,4;0,7006931274762026
6,276;23,90248;166,904;17,4;0,6982706396993116
6,287;23,89548;166,252;17,4;0,6957466432982305
6,298;23,91562;165,711;18,1;0,6928986160509325
6,309;24,00674;165,531;18,7;0,6895188601201163
6,32;24,237740000000002;165,176;18,7;0,6814826794907445
6,331;24,571740000000002;165,081;18,7;0,6718327639800844
6,342;24,888740000000002;165,161;18,7;0,6635972733051171
6,353;25,14874;165,285;18,7;0,6572297459037708
6,364;25,27188;166,179;19,4;0,6575648507352836
6,375;25,364;167,965;20,0;0,662218104399937
6,386;25,490000000000002;169,396;20,0;0,6645586504511571
6,398;25,612000000000002;170,552;20,0;0,665906606278307
6,409;25,696;171,391;20,0;0,6669948630136986
6,42;25,749859999999998;171,614;19,3;0,6664657594254882
6,431;25,757740000000002;171,412;18,7;0,6654776389543492
6,442;25,737740000000002;171,558;18,7;0,66656202137406
6,453;25,72488;171,023;19,4;0,6648155404417825
6,464;25,70086;169,808;19,3;0,6607094081676644
6,475;25,63074;168,283;18,7;0,6565670753165924
